SkyRC MC5000 Charge Analyzer,Firmware V1.08,,,,,,
Program,Discharge Test,Cut-off Voltage,2.80V,Discharge Current,1.00A,,
Time(s),Slot,Mode,Voltage(V),Current(A),Capacity(mAh),IR(mOhm),Temp(C)
0,1,DSC,4.114,1.00,0.0,35.8,22.8
0,2,DSC,4.121,1.00,0.0,28.4,23.0
0,3,DSC,4.108,1.00,0.0,38.1,22.6
0,4,DSC,4.109,1.00,0.0,37.6,23.1
60,1,DSC,4.096,1.00,16.7,35.5,22.5
60,2,DSC,4.106,1.00,16.7,27.1,22.4
60,3,DSC,4.091,1.00,16.7,38.4,23.3
60,4,DSC,4.092,1.00,16.7,37.4,23.1
120,1,DSC,4.086,1.00,33.3,35.6,22.7
120,2,DSC,4.096,1.00,33.3,28.0,23.1
120,3,DSC,4.081,1.00,33.3,37.8,22.9
120,4,DSC,4.084,1.00,33.3,36.9,23.2
180,1,DSC,4.071,1.00,50.0,36.7,23.1
180,2,DSC,4.090,1.00,50.0,27.9,23.5
180,3,DSC,4.067,1.00,50.0,38.7,23.5
180,4,DSC,4.074,1.00,50.0,37.8,23.4
240,1,DSC,4.074,1.00,66.7,35.9,22.6
240,2,DSC,4.076,1.00,66.7,28.7,22.8
240,3,DSC,4.045,1.00,66.7,38.2,23.1
240,4,DSC,4.056,1.00,66.7,36.9,22.8
300,1,DSC,4.049,1.00,83.3,35.3,23.2
300,2,DSC,4.063,1.00,83.3,28.7,23.0
300,3,DSC,4.027,1.00,83.3,38.4,23.2
300,4,DSC,4.046,1.00,83.3,37.7,22.8
360,1,DSC,4.045,1.00,100.0,35.1,22.9
360,2,DSC,4.052,1.00,100.0,27.8,22.8
360,3,DSC,4.017,1.00,100.0,38.1,23.3
360,4,DSC,4.028,1.00,100.0,36.3,23.3
420,1,DSC,4.027,1.00,116.7,36.2,22.9
420,2,DSC,4.041,1.00,116.7,27.8,23.0
420,3,DSC,4.007,1.00,116.7,38.6,23.0
420,4,DSC,4.017,1.00,116.7,38.0,23.2
480,1,DSC,4.018,1.00,133.3,36.8,23.5
480,2,DSC,4.030,1.00,133.3,28.6,23.5
480,3,DSC,3.992,1.00,133.3,37.3,23.6
480,4,DSC,4.003,1.00,133.3,37.7,23.1
540,1,DSC,4.005,1.00,150.0,36.8,23.0
540,2,DSC,4.020,1.00,150.0,29.2,22.8
540,3,DSC,3.981,1.00,150.0,38.8,23.2
540,4,DSC,4.001,1.00,150.0,38.2,22.8
600,1,DSC,3.992,1.00,166.7,36.5,23.4
600,2,DSC,4.010,1.00,166.7,27.6,23.0
600,3,DSC,3.965,1.00,166.7,38.1,23.5
600,4,DSC,3.991,1.00,166.7,37.9,23.6
660,1,DSC,3.982,1.00,183.3,36.5,23.7
660,2,DSC,4.006,1.00,183.3,27.2,23.4
660,3,DSC,3.965,1.00,183.3,39.2,22.9
660,4,DSC,3.975,1.00,183.3,38.9,23.5
720,1,DSC,3.977,1.00,200.0,35.2,23.6
720,2,DSC,4.000,1.00,200.0,27.7,23.4
720,3,DSC,3.945,1.00,200.0,38.6,23.6
720,4,DSC,3.974,1.00,200.0,37.9,23.3
780,1,DSC,3.969,1.00,216.7,36.9,23.1
780,2,DSC,3.989,1.00,216.7,26.9,23.2
780,3,DSC,3.941,1.00,216.7,38.2,23.6
780,4,DSC,3.956,1.00,216.7,38.1,23.6
840,1,DSC,3.959,1.00,233.3,36.4,23.5
840,2,DSC,3.982,1.00,233.3,27.2,23.4
840,3,DSC,3.933,1.00,233.3,38.5,23.8
840,4,DSC,3.950,1.00,233.3,36.5,23.1
900,1,DSC,3.954,1.00,250.0,36.1,23.4
900,2,DSC,3.971,1.00,250.0,28.3,23.5
900,3,DSC,3.922,1.00,250.0,36.7,24.2
900,4,DSC,3.944,1.00,250.0,37.8,23.4
960,1,DSC,3.942,1.00,266.7,36.0,23.5
960,2,DSC,3.965,1.00,266.7,27.2,23.8
960,3,DSC,3.916,1.00,266.7,38.7,23.7
960,4,DSC,3.931,1.00,266.7,37.5,23.4
1020,1,DSC,3.939,1.00,283.3,36.7,23.2
1020,2,DSC,3.949,1.00,283.3,28.6,23.2
1020,3,DSC,3.899,1.00,283.3,37.7,23.7
1020,4,DSC,3.929,1.00,283.3,36.8,23.7
1080,1,DSC,3.921,1.00,300.0,35.1,23.5
1080,2,DSC,3.948,1.00,300.0,27.6,24.1
1080,3,DSC,3.902,1.00,300.0,39.6,23.2
1080,4,DSC,3.921,1.00,300.0,38.1,23.5
1140,1,DSC,3.924,1.00,316.7,36.1,23.7
1140,2,DSC,3.940,1.00,316.7,27.4,23.2
1140,3,DSC,3.894,1.00,316.7,39.0,24.0
1140,4,DSC,3.911,1.00,316.7,37.8,23.3
1200,1,DSC,3.916,1.00,333.3,36.3,23.5
1200,2,DSC,3.939,1.00,333.3,28.9,24.1
1200,3,DSC,3.883,1.00,333.3,37.2,23.8
1200,4,DSC,3.909,1.00,333.3,38.2,23.9
1260,1,DSC,3.914,1.00,350.0,36.1,23.0
1260,2,DSC,3.925,1.00,350.0,27.7,23.8
1260,3,DSC,3.880,1.00,350.0,37.8,23.5
1260,4,DSC,3.907,1.00,350.0,37.0,23.5
1320,1,DSC,3.907,1.00,366.7,35.8,23.5
1320,2,DSC,3.930,1.00,366.7,28.3,23.9
1320,3,DSC,3.864,1.00,366.7,38.6,24.1
1320,4,DSC,3.895,1.00,366.7,37.8,23.9
1380,1,DSC,3.889,1.00,383.3,36.5,23.8
1380,2,DSC,3.926,1.00,383.3,25.4,23.3
1380,3,DSC,3.856,1.00,383.3,39.2,23.5
1380,4,DSC,3.895,1.00,383.3,37.1,23.5
1440,1,DSC,3.890,1.00,400.0,36.5,23.9
1440,2,DSC,3.912,1.00,400.0,27.8,23.5
1440,3,DSC,3.856,1.00,400.0,38.3,24.3
1440,4,DSC,3.878,1.00,400.0,38.1,23.7
1500,1,DSC,3.881,1.00,416.7,35.8,23.6
1500,2,DSC,3.909,1.00,416.7,27.7,23.8
1500,3,DSC,3.846,1.00,416.7,37.5,24.2
1500,4,DSC,3.870,1.00,416.7,37.6,23.3
1560,1,DSC,3.874,1.00,433.3,36.2,23.8
1560,2,DSC,3.895,1.00,433.3,27.9,23.3
1560,3,DSC,3.835,1.00,433.3,38.8,24.4
1560,4,DSC,3.867,1.00,433.3,37.5,24.0
1620,1,DSC,3.876,1.00,450.0,35.5,24.6
1620,2,DSC,3.894,1.00,450.0,27.9,24.3
1620,3,DSC,3.826,1.00,450.0,38.3,24.0
1620,4,DSC,3.863,1.00,450.0,38.3,24.5
1680,1,DSC,3.864,1.00,466.7,35.9,24.6
1680,2,DSC,3.886,1.00,466.7,26.5,23.9
1680,3,DSC,3.827,1.00,466.7,38.1,24.1
1680,4,DSC,3.860,1.00,466.7,36.7,23.6
1740,1,DSC,3.861,1.00,483.3,35.7,23.4
1740,2,DSC,3.882,1.00,483.3,28.4,23.7
1740,3,DSC,3.821,1.00,483.3,37.0,24.3
1740,4,DSC,3.845,1.00,483.3,36.1,24.4
1800,1,DSC,3.848,1.00,500.0,36.1,23.9
1800,2,DSC,3.874,1.00,500.0,27.7,24.0
1800,3,DSC,3.812,1.00,500.0,38.9,24.1
1800,4,DSC,3.841,1.00,500.0,39.3,24.6
1860,1,DSC,3.848,1.00,516.7,36.7,23.9
1860,2,DSC,3.872,1.00,516.7,28.0,24.1
1860,3,DSC,3.809,1.00,516.7,39.0,23.9
1860,4,DSC,3.834,1.00,516.7,37.0,24.0
1920,1,DSC,3.843,1.00,533.3,35.9,24.0
1920,2,DSC,3.872,1.00,533.3,28.4,24.4
1920,3,DSC,3.789,1.00,533.3,37.5,24.2
1920,4,DSC,3.834,1.00,533.3,37.5,24.5
1980,1,DSC,3.834,1.00,550.0,35.9,23.5
1980,2,DSC,3.855,1.00,550.0,27.9,23.8
1980,3,DSC,3.790,1.00,550.0,38.1,24.8
1980,4,DSC,3.818,1.00,550.0,35.8,23.8
2040,1,DSC,3.833,1.00,566.7,36.0,23.9
2040,2,DSC,3.854,1.00,566.7,28.7,24.4
2040,3,DSC,3.792,1.00,566.7,39.3,24.3
2040,4,DSC,3.815,1.00,566.7,37.7,24.4
2100,1,DSC,3.829,1.00,583.3,38.2,24.0
2100,2,DSC,3.848,1.00,583.3,28.0,24.0
2100,3,DSC,3.783,1.00,583.3,37.9,23.8
2100,4,DSC,3.817,1.00,583.3,37.3,23.6
2160,1,DSC,3.817,1.00,600.0,36.3,24.1
2160,2,DSC,3.844,1.00,600.0,27.2,23.9
2160,3,DSC,3.775,1.00,600.0,38.4,24.4
2160,4,DSC,3.804,1.00,600.0,37.0,24.3
2220,1,DSC,3.812,1.00,616.7,35.2,24.5
2220,2,DSC,3.841,1.00,616.7,27.6,24.3
2220,3,DSC,3.773,1.00,616.7,37.1,24.4
2220,4,DSC,3.804,1.00,616.7,37.1,23.3
2280,1,DSC,3.818,1.00,633.3,36.8,23.7
2280,2,DSC,3.839,1.00,633.3,28.0,24.2
2280,3,DSC,3.762,1.00,633.3,37.6,25.0
2280,4,DSC,3.798,1.00,633.3,37.6,24.3
2340,1,DSC,3.809,1.00,650.0,36.1,24.1
2340,2,DSC,3.839,1.00,650.0,28.8,24.2
2340,3,DSC,3.764,1.00,650.0,37.7,24.6
2340,4,DSC,3.789,1.00,650.0,36.9,24.1
2400,1,DSC,3.807,1.00,666.7,36.2,24.0
2400,2,DSC,3.832,1.00,666.7,28.1,24.1
2400,3,DSC,3.756,1.00,666.7,38.7,24.6
2400,4,DSC,3.790,1.00,666.7,37.4,24.2
2460,1,DSC,3.792,1.00,683.3,36.5,24.1
2460,2,DSC,3.825,1.00,683.3,28.6,23.8
2460,3,DSC,3.739,1.00,683.3,37.8,24.8
2460,4,DSC,3.784,1.00,683.3,36.9,24.5
2520,1,DSC,3.788,1.00,700.0,35.4,24.3
2520,2,DSC,3.815,1.00,700.0,28.7,24.4
2520,3,DSC,3.740,1.00,700.0,38.7,24.7
2520,4,DSC,3.778,1.00,700.0,37.7,24.4
2580,1,DSC,3.784,1.00,716.7,36.1,24.2
2580,2,DSC,3.807,1.00,716.7,28.0,24.4
2580,3,DSC,3.738,1.00,716.7,37.0,24.8
2580,4,DSC,3.766,1.00,716.7,36.4,24.2
2640,1,DSC,3.787,1.00,733.3,36.1,24.0
2640,2,DSC,3.814,1.00,733.3,29.5,24.2
2640,3,DSC,3.728,1.00,733.3,37.9,24.5
2640,4,DSC,3.760,1.00,733.3,37.1,24.8
2700,1,DSC,3.768,1.00,750.0,36.1,24.7
2700,2,DSC,3.810,1.00,750.0,27.7,23.9
2700,3,DSC,3.724,1.00,750.0,38.8,25.5
2700,4,DSC,3.762,1.00,750.0,37.0,24.6
2760,1,DSC,3.766,1.00,766.7,35.5,23.8
2760,2,DSC,3.801,1.00,766.7,26.9,24.2
2760,3,DSC,3.719,1.00,766.7,38.4,24.9
2760,4,DSC,3.757,1.00,766.7,37.5,24.8
2820,1,DSC,3.760,1.00,783.3,35.9,24.4
2820,2,DSC,3.794,1.00,783.3,28.9,24.7
2820,3,DSC,3.710,1.00,783.3,38.6,24.7
2820,4,DSC,3.757,1.00,783.3,37.4,24.4
2880,1,DSC,3.755,1.00,800.0,36.4,24.9
2880,2,DSC,3.786,1.00,800.0,27.5,25.0
2880,3,DSC,3.709,1.00,800.0,38.2,24.8
2880,4,DSC,3.744,1.00,800.0,36.9,24.4
2940,1,DSC,3.752,1.00,816.7,36.2,24.5
2940,2,DSC,3.789,1.00,816.7,27.6,23.6
2940,3,DSC,3.705,1.00,816.7,38.4,25.2
2940,4,DSC,3.742,1.00,816.7,36.7,25.2
3000,1,DSC,3.749,1.00,833.3,36.9,24.2
3000,2,DSC,3.781,1.00,833.3,28.0,23.7
3000,3,DSC,3.690,1.00,833.3,36.7,24.8
3000,4,DSC,3.735,1.00,833.3,37.3,25.0
3060,1,DSC,3.749,1.00,850.0,35.8,24.3
3060,2,DSC,3.775,1.00,850.0,27.8,24.3
3060,3,DSC,3.692,1.00,850.0,38.4,25.1
3060,4,DSC,3.739,1.00,850.0,38.1,25.0
3120,1,DSC,3.750,1.00,866.7,36.8,24.2
3120,2,DSC,3.769,1.00,866.7,28.5,24.0
3120,3,DSC,3.692,1.00,866.7,37.3,25.3
3120,4,DSC,3.727,1.00,866.7,38.8,24.9
3180,1,DSC,3.740,1.00,883.3,36.7,24.9
3180,2,DSC,3.761,1.00,883.3,27.1,24.0
3180,3,DSC,3.686,1.00,883.3,38.1,24.8
3180,4,DSC,3.727,1.00,883.3,36.7,24.6
3240,1,DSC,3.732,1.00,900.0,36.6,24.2
3240,2,DSC,3.764,1.00,900.0,29.0,24.6
3240,3,DSC,3.675,1.00,900.0,38.1,24.7
3240,4,DSC,3.715,1.00,900.0,37.9,24.8
3300,1,DSC,3.726,1.00,916.7,35.4,24.5
3300,2,DSC,3.758,1.00,916.7,27.7,24.6
3300,3,DSC,3.666,1.00,916.7,37.6,25.1
3300,4,DSC,3.713,1.00,916.7,37.0,24.4
3360,1,DSC,3.724,1.00,933.3,35.5,25.0
3360,2,DSC,3.755,1.00,933.3,28.1,24.6
3360,3,DSC,3.672,1.00,933.3,37.4,25.2
3360,4,DSC,3.705,1.00,933.3,37.2,25.1
3420,1,DSC,3.721,1.00,950.0,36.0,24.5
3420,2,DSC,3.747,1.00,950.0,28.2,24.5
3420,3,DSC,3.659,1.00,950.0,38.4,25.4
3420,4,DSC,3.701,1.00,950.0,37.4,24.7
3480,1,DSC,3.706,1.00,966.7,35.7,25.0
3480,2,DSC,3.748,1.00,966.7,27.0,24.6
3480,3,DSC,3.657,1.00,966.7,37.6,25.5
3480,4,DSC,3.697,1.00,966.7,38.0,24.9
3540,1,DSC,3.715,1.00,983.3,37.3,24.8
3540,2,DSC,3.742,1.00,983.3,28.2,25.0
3540,3,DSC,3.661,1.00,983.3,37.4,25.6
3540,4,DSC,3.696,1.00,983.3,37.7,25.0
3600,1,DSC,3.705,1.00,1000.0,36.4,24.5
3600,2,DSC,3.738,1.00,1000.0,27.0,24.7
3600,3,DSC,3.646,1.00,1000.0,37.5,25.5
3600,4,DSC,3.699,1.00,1000.0,38.2,25.1
3660,1,DSC,3.698,1.00,1016.7,35.7,25.1
3660,2,DSC,3.738,1.00,1016.7,27.1,24.9
3660,3,DSC,3.645,1.00,1016.7,37.8,25.4
3660,4,DSC,3.686,1.00,1016.7,37.5,25.3
3720,1,DSC,3.694,1.00,1033.3,36.6,24.8
3720,2,DSC,3.731,1.00,1033.3,28.7,25.0
3720,3,DSC,3.637,1.00,1033.3,38.1,25.6
3720,4,DSC,3.685,1.00,1033.3,37.9,25.4
3780,1,DSC,3.689,1.00,1050.0,36.0,25.1
3780,2,DSC,3.725,1.00,1050.0,28.2,24.7
3780,3,DSC,3.634,1.00,1050.0,38.1,25.5
3780,4,DSC,3.680,1.00,1050.0,36.8,25.3
