SkyRC MC5000 Charge Analyzer,Firmware V1.08,,,,,,
Program,Discharge Test,Cut-off Voltage,2.80V,Discharge Current,1.00A,,
Time(s),Slot,Mode,Voltage(V),Current(A),Capacity(mAh),IR(mOhm),Temp(C)
0,1,DSC,4.110,1.00,0.0,36.1,23.3
0,2,DSC,4.114,1.00,0.0,36.3,23.1
0,3,DSC,4.132,1.00,0.0,26.1,22.8
0,4,DSC,4.119,1.00,0.0,35.6,23.1
60,1,DSC,4.101,1.00,16.7,35.5,23.1
60,2,DSC,4.105,1.00,16.7,36.9,23.5
60,3,DSC,4.110,1.00,16.7,24.9,23.3
60,4,DSC,4.100,1.00,16.7,35.7,23.0
120,1,DSC,4.083,1.00,33.3,36.2,22.5
120,2,DSC,4.082,1.00,33.3,36.7,23.6
120,3,DSC,4.094,1.00,33.3,25.4,23.4
120,4,DSC,4.091,1.00,33.3,36.3,23.0
180,1,DSC,4.080,1.00,50.0,35.7,23.5
180,2,DSC,4.072,1.00,50.0,36.4,23.2
180,3,DSC,4.080,1.00,50.0,24.8,23.7
180,4,DSC,4.069,1.00,50.0,36.4,23.0
240,1,DSC,4.063,1.00,66.7,36.7,22.6
240,2,DSC,4.056,1.00,66.7,37.2,23.0
240,3,DSC,4.073,1.00,66.7,24.7,23.1
240,4,DSC,4.060,1.00,66.7,34.7,23.5
300,1,DSC,4.044,1.00,83.3,36.4,23.3
300,2,DSC,4.042,1.00,83.3,36.7,23.0
300,3,DSC,4.057,1.00,83.3,25.3,23.3
300,4,DSC,4.042,1.00,83.3,35.9,23.3
360,1,DSC,4.030,1.00,100.0,35.3,23.7
360,2,DSC,4.027,1.00,100.0,35.8,23.6
360,3,DSC,4.040,1.00,100.0,24.6,23.3
360,4,DSC,4.028,1.00,100.0,35.4,23.0
420,1,DSC,4.017,1.00,116.7,35.8,23.2
420,2,DSC,4.021,1.00,116.7,35.9,23.0
420,3,DSC,4.031,1.00,116.7,24.6,23.7
420,4,DSC,4.021,1.00,116.7,35.7,23.2
480,1,DSC,4.005,1.00,133.3,35.1,22.9
