SkyRC MC5000 Charge Analyzer,Firmware V1.08,,,,,,
Program,Discharge Test,Cut-off Voltage,2.80V,Discharge Current,1.00A,,
Time(s),Slot,Mode,Voltage(V),Current(A),Capacity(mAh),IR(mOhm),Temp(C)
0,1,DSC,4.116,1.00,0.0,35.3,22.6
0,2,DSC,4.053,1.00,0.0,93.2,23.4
0,3,DSC,4.120,1.00,0.0,28.9,22.9
0,4,DSC,4.120,1.00,0.0,31.0,22.6
60,1,DSC,4.098,1.00,16.7,35.5,22.7
60,2,DSC,4.045,1.00,16.7,96.6,23.0
60,3,DSC,4.111,1.00,16.7,28.8,22.8
60,4,DSC,4.113,1.00,16.7,30.8,22.8
120,1,DSC,4.090,1.00,33.3,35.5,22.8
120,2,DSC,4.035,1.00,33.3,94.9,23.5
120,3,DSC,4.088,1.00,33.3,27.9,23.1
120,4,DSC,4.093,1.00,33.3,30.1,23.1
180,1,DSC,4.075,1.00,50.0,35.9,23.5
180,2,DSC,4.022,1.00,50.0,94.9,22.8
180,3,DSC,4.088,1.00,50.0,28.9,23.4
180,4,DSC,4.081,1.00,50.0,31.5,22.9
240,1,DSC,4.060,1.00,66.7,36.4,23.3
240,2,DSC,4.003,1.00,66.7,94.1,23.2
240,3,DSC,4.073,1.00,66.7,29.3,23.1
240,4,DSC,4.058,1.00,66.7,29.8,23.2
300,1,DSC,4.057,1.00,83.3,36.3,23.0
300,2,DSC,3.984,1.00,83.3,94.6,23.2
300,3,DSC,4.057,1.00,83.3,29.0,23.5
300,4,DSC,4.051,1.00,83.3,30.2,23.0
360,1,DSC,4.038,1.00,100.0,35.5,23.3
360,2,DSC,3.978,1.00,100.0,95.0,23.1
360,3,DSC,4.040,1.00,100.0,29.0,23.0
360,4,DSC,4.044,1.00,100.0,30.6,22.5
420,1,DSC,4.020,1.00,116.7,35.3,23.4
420,2,DSC,3.973,1.00,116.7,94.8,22.9
420,3,DSC,4.020,1.00,116.7,28.3,24.0
420,4,DSC,4.024,1.00,116.7,31.0,23.1
480,1,DSC,4.020,1.00,133.3,35.1,23.4
480,2,DSC,3.956,1.00,133.3,94.4,23.3
480,3,DSC,4.013,1.00,133.3,28.4,23.6
480,4,DSC,4.011,1.00,133.3,30.9,23.3
540,1,DSC,4.005,1.00,150.0,34.6,23.2
540,2,DSC,3.943,1.00,150.0,94.1,23.8
540,3,DSC,4.007,1.00,150.0,27.8,23.6
540,4,DSC,4.008,1.00,150.0,30.2,23.1
600,1,DSC,3.993,1.00,166.7,35.9,23.2
600,2,DSC,3.935,1.00,166.7,96.6,23.0
600,3,DSC,3.997,1.00,166.7,27.5,23.5
600,4,DSC,3.992,1.00,166.7,30.4,23.4
660,1,DSC,3.990,1.00,183.3,35.3,23.5
660,2,DSC,3.926,1.00,183.3,96.2,23.6
660,3,DSC,3.980,1.00,183.3,27.9,23.3
660,4,DSC,3.981,1.00,183.3,29.6,23.2
720,1,DSC,3.973,1.00,200.0,34.9,23.3
720,2,DSC,3.914,1.00,200.0,94.1,23.3
720,3,DSC,3.974,1.00,200.0,27.5,23.5
720,4,DSC,3.979,1.00,200.0,30.0,23.6
780,1,DSC,3.970,1.00,216.7,35.5,23.9
780,2,DSC,3.901,1.00,216.7,95.2,23.4
780,3,DSC,3.969,1.00,216.7,28.3,23.6
780,4,DSC,3.966,1.00,216.7,30.4,23.5
840,1,DSC,3.962,1.00,233.3,35.5,23.7
840,2,DSC,3.894,1.00,233.3,95.6,23.8
840,3,DSC,3.957,1.00,233.3,28.4,23.5
840,4,DSC,3.960,1.00,233.3,29.7,24.1
900,1,DSC,3.954,1.00,250.0,37.1,23.2
900,2,DSC,3.879,1.00,250.0,95.2,23.5
900,3,DSC,3.948,1.00,250.0,26.5,23.6
900,4,DSC,3.953,1.00,250.0,30.4,23.3
960,1,DSC,3.948,1.00,266.7,35.6,24.1
960,2,DSC,3.881,1.00,266.7,95.4,23.6
960,3,DSC,3.941,1.00,266.7,29.4,23.3
960,4,DSC,3.940,1.00,266.7,30.5,24.4
1020,1,DSC,3.935,1.00,283.3,35.9,23.6
1020,2,DSC,3.872,1.00,283.3,95.0,23.1
1020,3,DSC,3.933,1.00,283.3,29.8,23.4
1020,4,DSC,3.939,1.00,283.3,30.2,23.7
1080,1,DSC,3.935,1.00,300.0,35.5,23.6
1080,2,DSC,3.869,1.00,300.0,93.6,23.4
1080,3,DSC,3.925,1.00,300.0,29.3,24.0
1080,4,DSC,3.935,1.00,300.0,30.6,23.3
1140,1,DSC,3.935,1.00,316.7,35.7,23.8
1140,2,DSC,3.859,1.00,316.7,95.1,23.4
1140,3,DSC,3.924,1.00,316.7,28.9,23.2
1140,4,DSC,3.924,1.00,316.7,30.3,24.3
1200,1,DSC,3.919,1.00,333.3,35.1,23.8
1200,2,DSC,3.857,1.00,333.3,95.2,22.9
1200,3,DSC,3.916,1.00,333.3,29.3,23.2
1200,4,DSC,3.914,1.00,333.3,28.9,23.0
1260,1,DSC,3.919,1.00,350.0,35.8,23.9
1260,2,DSC,3.851,1.00,350.0,95.3,23.9
1260,3,DSC,3.912,1.00,350.0,29.3,23.3
1260,4,DSC,3.911,1.00,350.0,30.3,23.6
1320,1,DSC,3.908,1.00,366.7,36.3,24.2
1320,2,DSC,3.836,1.00,366.7,95.2,23.7
1320,3,DSC,3.906,1.00,366.7,28.3,23.2
1320,4,DSC,3.896,1.00,366.7,30.5,23.3
1380,1,DSC,3.906,1.00,383.3,35.6,23.5
1380,2,DSC,3.831,1.00,383.3,94.1,23.4
1380,3,DSC,3.897,1.00,383.3,29.1,23.7
1380,4,DSC,3.892,1.00,383.3,31.4,24.1
1440,1,DSC,3.902,1.00,400.0,35.4,23.5
1440,2,DSC,3.826,1.00,400.0,96.2,23.9
1440,3,DSC,3.892,1.00,400.0,28.1,24.2
1440,4,DSC,3.892,1.00,400.0,29.8,23.6
1500,1,DSC,3.893,1.00,416.7,35.0,23.4
1500,2,DSC,3.822,1.00,416.7,94.7,23.7
1500,3,DSC,3.883,1.00,416.7,28.3,24.3
1500,4,DSC,3.884,1.00,416.7,29.3,23.9
1560,1,DSC,3.877,1.00,433.3,34.7,23.5
1560,2,DSC,3.825,1.00,433.3,94.5,24.0
1560,3,DSC,3.868,1.00,433.3,28.8,23.9
1560,4,DSC,3.879,1.00,433.3,29.9,24.1
1620,1,DSC,3.864,1.00,450.0,36.0,23.8
1620,2,DSC,3.809,1.00,450.0,96.0,24.0
1620,3,DSC,3.872,1.00,450.0,28.6,24.0
1620,4,DSC,3.869,1.00,450.0,29.5,24.2
1680,1,DSC,3.866,1.00,466.7,35.2,23.9
1680,2,DSC,3.799,1.00,466.7,94.1,24.1
1680,3,DSC,3.863,1.00,466.7,27.7,24.7
1680,4,DSC,3.867,1.00,466.7,29.5,23.9
1740,1,DSC,3.858,1.00,483.3,36.6,23.5
1740,2,DSC,3.797,1.00,483.3,96.0,23.8
1740,3,DSC,3.857,1.00,483.3,27.7,23.9
1740,4,DSC,3.856,1.00,483.3,31.2,23.8
1800,1,DSC,3.852,1.00,500.0,36.2,24.4
1800,2,DSC,3.787,1.00,500.0,95.7,24.2
1800,3,DSC,3.843,1.00,500.0,28.8,23.8
1800,4,DSC,3.848,1.00,500.0,29.9,24.1
1860,1,DSC,3.861,1.00,516.7,35.2,24.3
1860,2,DSC,3.781,1.00,516.7,95.2,24.4
1860,3,DSC,3.850,1.00,516.7,28.8,24.1
1860,4,DSC,3.850,1.00,516.7,29.7,24.0
1920,1,DSC,3.843,1.00,533.3,35.6,24.5
1920,2,DSC,3.781,1.00,533.3,94.7,24.2
1920,3,DSC,3.843,1.00,533.3,28.4,23.4
1920,4,DSC,3.839,1.00,533.3,30.0,23.9
1980,1,DSC,3.844,1.00,550.0,36.2,24.1
1980,2,DSC,3.776,1.00,550.0,94.7,23.9
1980,3,DSC,3.836,1.00,550.0,29.1,24.2
1980,4,DSC,3.828,1.00,550.0,29.1,24.1
2040,1,DSC,3.841,1.00,566.7,36.3,24.3
2040,2,DSC,3.765,1.00,566.7,93.9,24.2
2040,3,DSC,3.826,1.00,566.7,28.0,24.2
2040,4,DSC,3.827,1.00,566.7,31.1,24.2
2100,1,DSC,3.832,1.00,583.3,35.3,24.1
2100,2,DSC,3.762,1.00,583.3,95.9,24.0
2100,3,DSC,3.825,1.00,583.3,28.2,24.7
2100,4,DSC,3.828,1.00,583.3,29.8,24.6
2160,1,DSC,3.825,1.00,600.0,36.0,23.9
2160,2,DSC,3.756,1.00,600.0,95.2,24.4
2160,3,DSC,3.817,1.00,600.0,28.7,23.9
2160,4,DSC,3.823,1.00,600.0,30.2,24.5
2220,1,DSC,3.807,1.00,616.7,35.6,24.1
2220,2,DSC,3.748,1.00,616.7,94.8,23.7
2220,3,DSC,3.811,1.00,616.7,27.9,24.4
2220,4,DSC,3.817,1.00,616.7,29.8,24.3
2280,1,DSC,3.818,1.00,633.3,35.7,24.3
2280,2,DSC,3.747,1.00,633.3,94.4,23.8
2280,3,DSC,3.804,1.00,633.3,28.7,23.6
2280,4,DSC,3.809,1.00,633.3,30.6,24.6
2340,1,DSC,3.816,1.00,650.0,35.4,24.6
2340,2,DSC,3.746,1.00,650.0,95.5,24.5
2340,3,DSC,3.802,1.00,650.0,28.9,24.2
2340,4,DSC,3.804,1.00,650.0,29.6,24.4
2400,1,DSC,3.804,1.00,666.7,36.8,24.5
2400,2,DSC,3.738,1.00,666.7,94.8,24.0
2400,3,DSC,3.803,1.00,666.7,28.1,23.8
2400,4,DSC,3.800,1.00,666.7,29.7,24.5
2460,1,DSC,3.796,1.00,683.3,36.4,24.9
2460,2,DSC,3.739,1.00,683.3,94.1,24.0
2460,3,DSC,3.787,1.00,683.3,28.7,24.9
2460,4,DSC,3.787,1.00,683.3,28.5,24.2
2520,1,DSC,3.795,1.00,700.0,35.5,24.3
2520,2,DSC,3.726,1.00,700.0,95.2,24.2
2520,3,DSC,3.785,1.00,700.0,27.8,24.8
2520,4,DSC,3.785,1.00,700.0,29.3,24.2
2580,1,DSC,3.795,1.00,716.7,36.0,24.6
2580,2,DSC,3.720,1.00,716.7,95.5,24.5
2580,3,DSC,3.779,1.00,716.7,28.3,24.4
2580,4,DSC,3.789,1.00,716.7,30.8,24.8
2640,1,DSC,3.786,1.00,733.3,35.7,24.4
2640,2,DSC,3.719,1.00,733.3,94.7,24.8
2640,3,DSC,3.773,1.00,733.3,29.4,25.0
2640,4,DSC,3.777,1.00,733.3,29.7,24.9
2700,1,DSC,3.780,1.00,750.0,36.2,24.3
2700,2,DSC,3.711,1.00,750.0,95.3,24.7
2700,3,DSC,3.768,1.00,750.0,28.9,24.0
2700,4,DSC,3.772,1.00,750.0,30.5,24.7
2760,1,DSC,3.772,1.00,766.7,37.2,24.2
2760,2,DSC,3.711,1.00,766.7,94.2,24.1
2760,3,DSC,3.765,1.00,766.7,28.8,24.3
2760,4,DSC,3.761,1.00,766.7,31.5,24.2
2820,1,DSC,3.765,1.00,783.3,35.1,24.4
2820,2,DSC,3.701,1.00,783.3,95.0,24.3
2820,3,DSC,3.764,1.00,783.3,29.1,24.6
2820,4,DSC,3.763,1.00,783.3,31.1,25.0
2880,1,DSC,3.763,1.00,800.0,36.0,24.6
2880,2,DSC,3.696,1.00,800.0,95.0,24.4
2880,3,DSC,3.755,1.00,800.0,28.7,24.5
2880,4,DSC,3.754,1.00,800.0,29.8,24.4
