SkyRC MC5000 Charge Analyzer,Firmware V1.08,,,,,,
Program,Discharge Test,Cut-off Voltage,2.80V,Discharge Current,1.00A,,
Time(s),Slot,Mode,Voltage(V),Current(A),Capacity(mAh),IR(mOhm),Temp(C)
0,1,DSC,4.114,1.00,0.0,34.7,23.0
0,2,DSC,4.118,1.00,0.0,37.0,23.1
0,3,DSC,4.118,1.00,0.0,33.8,23.0
0,4,DSC,4.122,1.00,0.0,24.8,22.5
60,1,DSC,4.104,1.00,16.7,33.9,23.0
60,2,DSC,4.100,1.00,16.7,36.6,23.1
60,3,DSC,4.097,1.00,16.7,33.5,22.8
60,4,DSC,4.107,1.00,16.7,26.1,22.9
120,1,DSC,4.084,1.00,33.3,33.9,23.4
120,2,DSC,4.088,1.00,33.3,36.0,23.2
120,3,DSC,4.098,1.00,33.3,33.6,23.3
120,4,DSC,4.100,1.00,33.3,25.7,23.9
180,1,DSC,4.076,1.00,50.0,33.9,22.8
180,2,DSC,4.076,1.00,50.0,36.9,22.8
180,3,DSC,4.067,1.00,50.0,33.8,23.3
180,4,DSC,4.078,1.00,50.0,24.8,23.6
240,1,DSC,4.066,1.00,66.7,35.0,23.0
240,2,DSC,4.072,1.00,66.7,36.9,23.0
240,3,DSC,4.060,1.00,66.7,33.5,23.8
240,4,DSC,4.072,1.00,66.7,26.5,23.1
300,1,DSC,4.046,1.00,83.3,33.2,23.7
300,2,DSC,4.061,1.00,83.3,36.1,23.1
300,3,DSC,4.047,1.00,83.3,34.7,23.4
300,4,DSC,4.064,1.00,83.3,25.4,23.2
360,1,DSC,4.041,1.00,100.0,33.9,23.4
360,2,DSC,4.037,1.00,100.0,37.0,23.0
360,3,DSC,4.032,1.00,100.0,33.2,22.9
360,4,DSC,4.052,1.00,100.0,25.9,23.1
420,1,DSC,4.028,1.00,116.7,34.5,23.4
420,2,DSC,4.027,1.00,116.7,37.6,23.3
420,3,DSC,4.018,1.00,116.7,33.9,23.1
420,4,DSC,4.037,1.00,116.7,24.3,22.9
480,1,DSC,4.010,1.00,133.3,35.0,22.7
480,2,DSC,4.009,1.00,133.3,36.7,23.3
480,3,DSC,4.009,1.00,133.3,34.2,23.2
480,4,DSC,4.018,1.00,133.3,24.8,22.8
540,1,DSC,3.994,1.00,150.0,34.4,23.4
540,2,DSC,4.007,1.00,150.0,36.7,22.8
540,3,DSC,3.999,1.00,150.0,33.3,22.8
540,4,DSC,4.016,1.00,150.0,25.9,23.2
600,1,DSC,3.995,1.00,166.7,33.8,23.6
600,2,DSC,3.993,1.00,166.7,37.2,23.5
600,3,DSC,3.988,1.00,166.7,34.6,23.5
600,4,DSC,4.009,1.00,166.7,25.4,23.3
660,1,DSC,3.986,1.00,183.3,34.4,23.1
660,2,DSC,3.990,1.00,183.3,35.8,23.9
660,3,DSC,3.977,1.00,183.3,33.2,23.6
660,4,DSC,4.003,1.00,183.3,26.9,22.8
720,1,DSC,3.972,1.00,200.0,35.6,23.2
720,2,DSC,3.977,1.00,200.0,35.0,23.1
720,3,DSC,3.971,1.00,200.0,33.5,23.5
720,4,DSC,3.991,1.00,200.0,25.8,23.8
780,1,DSC,3.963,1.00,216.7,34.9,23.8
780,2,DSC,3.968,1.00,216.7,36.6,23.6
780,3,DSC,3.955,1.00,216.7,32.8,23.5
780,4,DSC,3.986,1.00,216.7,24.7,23.3
840,1,DSC,3.964,1.00,233.3,34.5,23.5
840,2,DSC,3.959,1.00,233.3,36.6,23.3
840,3,DSC,3.955,1.00,233.3,34.8,23.4
840,4,DSC,3.974,1.00,233.3,24.8,23.0
900,1,DSC,3.953,1.00,250.0,34.5,23.8
900,2,DSC,3.945,1.00,250.0,36.5,23.4
900,3,DSC,3.941,1.00,250.0,34.8,23.3
900,4,DSC,3.971,1.00,250.0,25.3,23.5
960,1,DSC,3.937,1.00,266.7,34.9,23.5
960,2,DSC,3.941,1.00,266.7,35.5,23.7
960,3,DSC,3.939,1.00,266.7,34.2,23.8
960,4,DSC,3.964,1.00,266.7,25.7,23.7
1020,1,DSC,3.935,1.00,283.3,34.0,23.3
1020,2,DSC,3.932,1.00,283.3,35.7,23.8
1020,3,DSC,3.931,1.00,283.3,34.3,23.7
1020,4,DSC,3.944,1.00,283.3,24.3,23.7
1080,1,DSC,3.923,1.00,300.0,34.3,24.0
1080,2,DSC,3.933,1.00,300.0,36.1,23.3
1080,3,DSC,3.922,1.00,300.0,32.7,23.7
1080,4,DSC,3.941,1.00,300.0,25.6,24.0
1140,1,DSC,3.914,1.00,316.7,33.7,23.9
1140,2,DSC,3.923,1.00,316.7,38.0,23.5
1140,3,DSC,3.916,1.00,316.7,34.4,23.8
1140,4,DSC,3.934,1.00,316.7,25.2,23.7
1200,1,DSC,3.918,1.00,333.3,33.7,23.9
1200,2,DSC,3.924,1.00,333.3,37.3,24.1
1200,3,DSC,3.907,1.00,333.3,33.5,24.0
1200,4,DSC,3.931,1.00,333.3,26.5,23.6
1260,1,DSC,3.904,1.00,350.0,33.8,23.0
1260,2,DSC,3.914,1.00,350.0,37.0,23.7
1260,3,DSC,3.900,1.00,350.0,34.5,23.8
1260,4,DSC,3.928,1.00,350.0,24.6,23.5
1320,1,DSC,3.901,1.00,366.7,35.3,24.0
1320,2,DSC,3.905,1.00,366.7,36.3,23.2
1320,3,DSC,3.890,1.00,366.7,33.1,24.9
1320,4,DSC,3.915,1.00,366.7,24.4,23.7
1380,1,DSC,3.900,1.00,383.3,33.7,23.8
1380,2,DSC,3.904,1.00,383.3,36.9,23.6
1380,3,DSC,3.886,1.00,383.3,33.6,24.0
1380,4,DSC,3.910,1.00,383.3,25.0,24.1
1440,1,DSC,3.891,1.00,400.0,34.5,24.1
1440,2,DSC,3.893,1.00,400.0,37.4,23.2
1440,3,DSC,3.875,1.00,400.0,33.9,23.6
1440,4,DSC,3.903,1.00,400.0,25.9,23.8
1500,1,DSC,3.882,1.00,416.7,35.5,24.3
1500,2,DSC,3.890,1.00,416.7,36.6,23.7
1500,3,DSC,3.866,1.00,416.7,33.8,24.1
1500,4,DSC,3.901,1.00,416.7,24.2,24.3
1560,1,DSC,3.875,1.00,433.3,34.0,23.6
1560,2,DSC,3.883,1.00,433.3,37.1,23.6
1560,3,DSC,3.872,1.00,433.3,34.7,23.7
1560,4,DSC,3.894,1.00,433.3,26.1,23.4
1620,1,DSC,3.858,1.00,450.0,34.0,23.8
1620,2,DSC,3.875,1.00,450.0,36.6,24.1
1620,3,DSC,3.859,1.00,450.0,33.6,23.9
1620,4,DSC,3.885,1.00,450.0,24.6,24.3
1680,1,DSC,3.857,1.00,466.7,34.7,23.6
1680,2,DSC,3.878,1.00,466.7,35.6,24.0
1680,3,DSC,3.848,1.00,466.7,33.6,24.1
1680,4,DSC,3.878,1.00,466.7,25.0,23.9
1740,1,DSC,3.856,1.00,483.3,34.7,23.8
1740,2,DSC,3.864,1.00,483.3,35.9,24.3
1740,3,DSC,3.841,1.00,483.3,34.6,24.0
1740,4,DSC,3.876,1.00,483.3,24.6,23.9
1800,1,DSC,3.846,1.00,500.0,34.7,24.1
1800,2,DSC,3.860,1.00,500.0,36.2,23.7
1800,3,DSC,3.848,1.00,500.0,33.7,24.0
1800,4,DSC,3.869,1.00,500.0,26.6,24.1
1860,1,DSC,3.836,1.00,516.7,34.1,24.1
1860,2,DSC,3.855,1.00,516.7,36.2,23.9
1860,3,DSC,3.836,1.00,516.7,33.1,24.5
1860,4,DSC,3.856,1.00,516.7,25.0,24.5
1920,1,DSC,3.834,1.00,533.3,35.8,23.8
1920,2,DSC,3.847,1.00,533.3,36.4,24.3
1920,3,DSC,3.825,1.00,533.3,34.8,23.6
1920,4,DSC,3.865,1.00,533.3,25.1,23.8
1980,1,DSC,3.833,1.00,550.0,33.8,24.2
1980,2,DSC,3.842,1.00,550.0,35.3,23.9
1980,3,DSC,3.819,1.00,550.0,33.9,24.3
1980,4,DSC,3.851,1.00,550.0,24.9,24.1
2040,1,DSC,3.824,1.00,566.7,34.6,24.7
2040,2,DSC,3.844,1.00,566.7,36.3,24.1
2040,3,DSC,3.823,1.00,566.7,34.0,24.0
2040,4,DSC,3.848,1.00,566.7,24.6,24.4
2100,1,DSC,3.828,1.00,583.3,34.8,23.9
2100,2,DSC,3.835,1.00,583.3,35.4,23.7
2100,3,DSC,3.816,1.00,583.3,33.5,24.0
2100,4,DSC,3.844,1.00,583.3,24.1,24.0
2160,1,DSC,3.814,1.00,600.0,35.0,24.0
2160,2,DSC,3.822,1.00,600.0,36.3,23.9
2160,3,DSC,3.805,1.00,600.0,32.4,24.3
2160,4,DSC,3.835,1.00,600.0,24.8,23.7
2220,1,DSC,3.803,1.00,616.7,34.5,24.0
2220,2,DSC,3.826,1.00,616.7,36.5,24.9
2220,3,DSC,3.802,1.00,616.7,32.8,24.0
2220,4,DSC,3.829,1.00,616.7,25.1,23.9
2280,1,DSC,3.800,1.00,633.3,35.2,24.1
2280,2,DSC,3.815,1.00,633.3,36.1,24.2
2280,3,DSC,3.796,1.00,633.3,33.9,23.8
2280,4,DSC,3.821,1.00,633.3,25.8,24.2
2340,1,DSC,3.797,1.00,650.0,34.5,24.2
2340,2,DSC,3.807,1.00,650.0,35.6,24.1
2340,3,DSC,3.791,1.00,650.0,34.8,23.8
2340,4,DSC,3.821,1.00,650.0,25.9,24.1
2400,1,DSC,3.797,1.00,666.7,33.9,24.4
2400,2,DSC,3.805,1.00,666.7,36.6,24.5
2400,3,DSC,3.789,1.00,666.7,33.9,24.3
2400,4,DSC,3.819,1.00,666.7,26.7,24.4
2460,1,DSC,3.789,1.00,683.3,34.8,24.3
2460,2,DSC,3.804,1.00,683.3,35.4,24.5
2460,3,DSC,3.778,1.00,683.3,33.2,24.3
2460,4,DSC,3.808,1.00,683.3,25.7,24.4
2520,1,DSC,3.780,1.00,700.0,34.3,24.1
2520,2,DSC,3.799,1.00,700.0,36.4,23.9
2520,3,DSC,3.777,1.00,700.0,35.4,25.0
2520,4,DSC,3.812,1.00,700.0,25.9,24.6
2580,1,DSC,3.782,1.00,716.7,35.2,24.6
2580,2,DSC,3.792,1.00,716.7,37.1,24.3
2580,3,DSC,3.763,1.00,716.7,33.5,24.8
2580,4,DSC,3.798,1.00,716.7,24.6,24.3
2640,1,DSC,3.781,1.00,733.3,34.5,24.5
2640,2,DSC,3.787,1.00,733.3,36.2,24.7
2640,3,DSC,3.768,1.00,733.3,33.7,24.3
2640,4,DSC,3.796,1.00,733.3,26.1,24.1
2700,1,DSC,3.763,1.00,750.0,35.6,24.8
2700,2,DSC,3.778,1.00,750.0,36.2,24.4
2700,3,DSC,3.761,1.00,750.0,32.6,24.6
2700,4,DSC,3.792,1.00,750.0,23.6,24.6
2760,1,DSC,3.767,1.00,766.7,34.8,24.3
2760,2,DSC,3.780,1.00,766.7,36.8,24.2
2760,3,DSC,3.758,1.00,766.7,34.4,24.3
2760,4,DSC,3.780,1.00,766.7,24.9,24.4
2820,1,DSC,3.758,1.00,783.3,34.7,24.7
2820,2,DSC,3.771,1.00,783.3,36.0,24.6
2820,3,DSC,3.746,1.00,783.3,33.7,24.6
2820,4,DSC,3.788,1.00,783.3,26.4,24.5
2880,1,DSC,3.752,1.00,800.0,34.6,24.4
2880,2,DSC,3.762,1.00,800.0,35.9,24.5
2880,3,DSC,3.745,1.00,800.0,32.9,24.5
2880,4,DSC,3.774,1.00,800.0,26.0,24.9
2940,1,DSC,3.738,1.00,816.7,34.8,24.7
2940,2,DSC,3.760,1.00,816.7,35.7,23.6
2940,3,DSC,3.740,1.00,816.7,34.0,24.9
2940,4,DSC,3.768,1.00,816.7,25.4,24.5
3000,1,DSC,3.746,1.00,833.3,35.5,24.9
3000,2,DSC,3.753,1.00,833.3,36.5,24.3
3000,3,DSC,3.735,1.00,833.3,33.1,24.7
3000,4,DSC,3.774,1.00,833.3,24.5,24.5
3060,1,DSC,3.741,1.00,850.0,34.2,24.9
3060,2,DSC,3.747,1.00,850.0,36.3,24.3
3060,3,DSC,3.729,1.00,850.0,33.2,24.6
3060,4,DSC,3.761,1.00,850.0,24.9,24.8
3120,1,DSC,3.735,1.00,866.7,34.9,24.2
3120,2,DSC,3.741,1.00,866.7,37.0,24.6
3120,3,DSC,3.726,1.00,866.7,33.7,24.5
3120,4,DSC,3.760,1.00,866.7,24.3,25.1
3180,1,DSC,3.727,1.00,883.3,34.1,24.7
3180,2,DSC,3.747,1.00,883.3,36.4,24.7
3180,3,DSC,3.719,1.00,883.3,33.1,25.1
3180,4,DSC,3.754,1.00,883.3,26.3,24.3
3240,1,DSC,3.723,1.00,900.0,33.0,24.7
3240,2,DSC,3.739,1.00,900.0,36.6,24.2
3240,3,DSC,3.715,1.00,900.0,34.2,25.3
3240,4,DSC,3.749,1.00,900.0,24.4,25.7
3300,1,DSC,3.723,1.00,916.7,35.0,24.6
3300,2,DSC,3.743,1.00,916.7,37.2,25.0
3300,3,DSC,3.705,1.00,916.7,35.4,24.8
3300,4,DSC,3.740,1.00,916.7,23.9,24.4
3360,1,DSC,3.717,1.00,933.3,34.1,24.9
3360,2,DSC,3.736,1.00,933.3,37.5,25.0
3360,3,DSC,3.707,1.00,933.3,35.1,25.2
3360,4,DSC,3.744,1.00,933.3,25.2,25.2
3420,1,DSC,3.717,1.00,950.0,34.7,25.0
3420,2,DSC,3.719,1.00,950.0,35.1,24.4
3420,3,DSC,3.701,1.00,950.0,33.9,25.0
3420,4,DSC,3.734,1.00,950.0,25.6,24.4
3480,1,DSC,3.712,1.00,966.7,34.0,24.8
3480,2,DSC,3.727,1.00,966.7,36.3,25.4
3480,3,DSC,3.700,1.00,966.7,33.6,25.0
3480,4,DSC,3.729,1.00,966.7,24.5,24.8
3540,1,DSC,3.702,1.00,983.3,35.1,24.5
3540,2,DSC,3.721,1.00,983.3,36.2,24.8
3540,3,DSC,3.689,1.00,983.3,32.2,25.3
3540,4,DSC,3.735,1.00,983.3,24.1,24.5
3600,1,DSC,3.700,1.00,1000.0,35.6,25.2
3600,2,DSC,3.707,1.00,1000.0,36.2,24.6
3600,3,DSC,3.690,1.00,1000.0,33.4,25.0
3600,4,DSC,3.725,1.00,1000.0,26.5,25.6
3660,1,DSC,3.694,1.00,1016.7,33.8,25.0
3660,2,DSC,3.709,1.00,1016.7,36.6,24.6
3660,3,DSC,3.681,1.00,1016.7,34.6,24.7
3660,4,DSC,3.716,1.00,1016.7,23.9,24.7
3720,1,DSC,3.692,1.00,1033.3,34.2,24.7
3720,2,DSC,3.710,1.00,1033.3,36.5,25.5
3720,3,DSC,3.677,1.00,1033.3,34.3,24.9
3720,4,DSC,3.713,1.00,1033.3,25.3,24.9
3780,1,DSC,3.684,1.00,1050.0,36.1,24.6
3780,2,DSC,3.707,1.00,1050.0,35.8,25.1
3780,3,DSC,3.677,1.00,1050.0,35.5,25.6
3780,4,DSC,3.709,1.00,1050.0,24.7,24.8
3840,1,DSC,3.675,1.00,1066.7,35.0,24.7
3840,2,DSC,3.696,1.00,1066.7,35.8,25.2
3840,3,DSC,3.667,1.00,1066.7,34.0,24.8
3840,4,DSC,3.701,1.00,1066.7,25.6,25.0
3900,1,DSC,3.678,1.00,1083.3,35.6,25.1
3900,2,DSC,3.688,1.00,1083.3,37.9,25.5
3900,3,DSC,3.666,1.00,1083.3,34.2,24.9
3900,4,DSC,3.701,1.00,1083.3,25.1,25.0
3960,1,DSC,3.679,1.00,1100.0,35.7,25.5
3960,2,DSC,3.685,1.00,1100.0,36.1,25.4
3960,3,DSC,3.667,1.00,1100.0,34.3,25.5
3960,4,DSC,3.692,1.00,1100.0,26.0,24.7
4020,1,DSC,3.673,1.00,1116.7,34.7,25.1
4020,2,DSC,3.685,1.00,1116.7,36.4,25.4
4020,3,DSC,3.658,1.00,1116.7,32.7,25.2
4020,4,DSC,3.694,1.00,1116.7,25.1,25.0
4080,1,DSC,3.658,1.00,1133.3,34.2,25.6
4080,2,DSC,3.686,1.00,1133.3,36.3,25.2
4080,3,DSC,3.655,1.00,1133.3,34.9,25.4
4080,4,DSC,3.697,1.00,1133.3,25.0,25.4
4140,1,DSC,3.669,1.00,1150.0,34.2,25.4
4140,2,DSC,3.676,1.00,1150.0,36.6,25.1
4140,3,DSC,3.646,1.00,1150.0,32.6,25.7
4140,4,DSC,3.694,1.00,1150.0,24.5,25.5
4200,1,DSC,3.653,1.00,1166.7,34.2,24.9
4200,2,DSC,3.672,1.00,1166.7,36.1,25.0
4200,3,DSC,3.645,1.00,1166.7,35.5,26.0
4200,4,DSC,3.685,1.00,1166.7,25.7,25.5
4260,1,DSC,3.654,1.00,1183.3,34.0,25.2
4260,2,DSC,3.675,1.00,1183.3,37.9,24.7
4260,3,DSC,3.645,1.00,1183.3,34.6,25.7
4260,4,DSC,3.682,1.00,1183.3,25.5,25.5
4320,1,DSC,3.652,1.00,1200.0,34.8,24.7
4320,2,DSC,3.670,1.00,1200.0,36.3,25.3
4320,3,DSC,3.638,1.00,1200.0,33.9,25.2
4320,4,DSC,3.679,1.00,1200.0,25.2,25.2
4380,1,DSC,3.639,1.00,1216.7,34.4,25.3
4380,2,DSC,3.677,1.00,1216.7,35.8,25.5
4380,3,DSC,3.624,1.00,1216.7,33.9,25.9
4380,4,DSC,3.672,1.00,1216.7,25.3,25.1
4440,1,DSC,3.638,1.00,1233.3,34.8,25.7
4440,2,DSC,3.656,1.00,1233.3,37.1,25.3
4440,3,DSC,3.633,1.00,1233.3,31.9,25.7
4440,4,DSC,3.669,1.00,1233.3,24.8,25.5
4500,1,DSC,3.642,1.00,1250.0,35.4,25.4
4500,2,DSC,3.656,1.00,1250.0,35.8,25.3
4500,3,DSC,3.623,1.00,1250.0,34.7,25.5
4500,4,DSC,3.669,1.00,1250.0,24.2,25.4
4560,1,DSC,3.628,1.00,1266.7,34.3,25.2
4560,2,DSC,3.651,1.00,1266.7,37.2,25.6
4560,3,DSC,3.622,1.00,1266.7,32.9,25.7
4560,4,DSC,3.665,1.00,1266.7,24.6,24.9
4620,1,DSC,3.630,1.00,1283.3,34.0,26.2
4620,2,DSC,3.648,1.00,1283.3,36.0,25.0
4620,3,DSC,3.615,1.00,1283.3,34.9,25.8
4620,4,DSC,3.661,1.00,1283.3,25.2,25.1
4680,1,DSC,3.622,1.00,1300.0,33.3,26.3
4680,2,DSC,3.641,1.00,1300.0,35.7,25.3
4680,3,DSC,3.610,1.00,1300.0,34.1,25.3
4680,4,DSC,3.664,1.00,1300.0,24.9,25.3
4740,1,DSC,3.624,1.00,1316.7,35.1,25.7
4740,2,DSC,3.641,1.00,1316.7,37.4,24.9
4740,3,DSC,3.613,1.00,1316.7,33.9,25.5
4740,4,DSC,3.650,1.00,1316.7,24.8,25.1
4800,1,DSC,3.615,1.00,1333.3,35.6,25.6
4800,2,DSC,3.639,1.00,1333.3,34.7,25.6
4800,3,DSC,3.602,1.00,1333.3,34.2,26.1
4800,4,DSC,3.640,1.00,1333.3,25.4,25.3
4860,1,DSC,3.619,1.00,1350.0,33.8,25.4
4860,2,DSC,3.637,1.00,1350.0,35.9,25.5
4860,3,DSC,3.597,1.00,1350.0,34.4,25.5
4860,4,DSC,3.644,1.00,1350.0,25.2,25.5
4920,1,DSC,3.610,1.00,1366.7,33.4,25.4
4920,2,DSC,3.625,1.00,1366.7,35.8,25.4
4920,3,DSC,3.599,1.00,1366.7,34.6,25.7
4920,4,DSC,3.636,1.00,1366.7,24.5,25.8
4980,1,DSC,3.602,1.00,1383.3,34.4,25.4
4980,2,DSC,3.623,1.00,1383.3,36.2,25.0
4980,3,DSC,3.587,1.00,1383.3,34.1,26.4
4980,4,DSC,3.641,1.00,1383.3,26.0,25.3
5040,1,DSC,3.603,1.00,1400.0,34.5,26.4
5040,2,DSC,3.620,1.00,1400.0,35.6,25.9
5040,3,DSC,3.588,1.00,1400.0,32.4,25.5
5040,4,DSC,3.628,1.00,1400.0,26.2,25.6
5100,1,DSC,3.598,1.00,1416.7,35.1,25.4
5100,2,DSC,3.615,1.00,1416.7,36.2,25.4
5100,3,DSC,3.583,1.00,1416.7,33.3,25.8
5100,4,DSC,3.624,1.00,1416.7,26.1,25.9
5160,1,DSC,3.596,1.00,1433.3,34.3,25.9
5160,2,DSC,3.609,1.00,1433.3,36.5,25.6
5160,3,DSC,3.574,1.00,1433.3,33.8,26.1
5160,4,DSC,3.627,1.00,1433.3,25.1,25.5
5220,1,DSC,3.585,1.00,1450.0,35.2,26.3
5220,2,DSC,3.606,1.00,1450.0,37.0,26.0
5220,3,DSC,3.580,1.00,1450.0,33.8,25.8
5220,4,DSC,3.624,1.00,1450.0,24.5,25.2
5280,1,DSC,3.581,1.00,1466.7,35.4,26.0
5280,2,DSC,3.608,1.00,1466.7,36.3,25.2
5280,3,DSC,3.566,1.00,1466.7,33.1,26.3
5280,4,DSC,3.617,1.00,1466.7,24.8,25.8
5340,1,DSC,3.580,1.00,1483.3,34.4,26.1
5340,2,DSC,3.604,1.00,1483.3,37.7,25.2
5340,3,DSC,3.564,1.00,1483.3,35.3,25.8
5340,4,DSC,3.614,1.00,1483.3,25.0,25.8
5400,1,DSC,3.577,1.00,1500.0,33.1,25.7
5400,2,DSC,3.600,1.00,1500.0,36.6,25.9
5400,3,DSC,3.562,1.00,1500.0,33.4,25.7
5400,4,DSC,3.607,1.00,1500.0,25.6,24.9
5460,1,DSC,3.579,1.00,1516.7,35.2,25.6
5460,2,DSC,3.598,1.00,1516.7,36.6,25.8
5460,3,DSC,3.565,1.00,1516.7,34.3,26.2
5460,4,DSC,3.609,1.00,1516.7,23.8,25.6
5520,1,DSC,3.572,1.00,1533.3,34.2,26.0
5520,2,DSC,3.597,1.00,1533.3,36.7,26.1
5520,3,DSC,3.553,1.00,1533.3,34.3,26.2
5520,4,DSC,3.602,1.00,1533.3,25.5,26.1
5580,1,DSC,3.565,1.00,1550.0,34.0,26.4
5580,2,DSC,3.593,1.00,1550.0,36.8,26.1
5580,3,DSC,3.549,1.00,1550.0,33.1,25.7
5580,4,DSC,3.598,1.00,1550.0,25.6,25.7
5640,1,DSC,3.561,1.00,1566.7,35.9,26.5
5640,2,DSC,3.582,1.00,1566.7,35.2,25.3
5640,3,DSC,3.543,1.00,1566.7,34.6,26.3
5640,4,DSC,3.591,1.00,1566.7,25.3,26.1
5700,1,DSC,3.564,1.00,1583.3,34.5,26.4
5700,2,DSC,3.580,1.00,1583.3,37.0,26.2
5700,3,DSC,3.549,1.00,1583.3,32.8,26.5
5700,4,DSC,3.587,1.00,1583.3,26.4,25.8
5760,1,DSC,3.556,1.00,1600.0,35.3,26.5
5760,2,DSC,3.576,1.00,1600.0,37.1,25.9
5760,3,DSC,3.538,1.00,1600.0,33.9,26.5
5760,4,DSC,3.593,1.00,1600.0,25.0,25.9
5820,1,DSC,3.545,1.00,1616.7,35.0,26.5
5820,2,DSC,3.578,1.00,1616.7,36.8,26.2
5820,3,DSC,3.530,1.00,1616.7,33.1,26.3
5820,4,DSC,3.586,1.00,1616.7,24.9,26.1
5880,1,DSC,3.549,1.00,1633.3,34.8,26.1
5880,2,DSC,3.569,1.00,1633.3,36.7,26.0
5880,3,DSC,3.529,1.00,1633.3,32.9,26.4
5880,4,DSC,3.579,1.00,1633.3,25.4,26.2
5940,1,DSC,3.549,1.00,1650.0,34.5,26.2
5940,2,DSC,3.572,1.00,1650.0,35.7,26.2
5940,3,DSC,3.524,1.00,1650.0,34.2,26.9
5940,4,DSC,3.584,1.00,1650.0,24.7,26.2
6000,1,DSC,3.541,1.00,1666.7,35.2,26.3
6000,2,DSC,3.574,1.00,1666.7,37.9,26.1
6000,3,DSC,3.523,1.00,1666.7,32.8,26.4
6000,4,DSC,3.576,1.00,1666.7,24.6,26.3
6060,1,DSC,3.544,1.00,1683.3,35.1,26.6
6060,2,DSC,3.563,1.00,1683.3,37.1,26.2
6060,3,DSC,3.516,1.00,1683.3,34.5,26.4
6060,4,DSC,3.576,1.00,1683.3,26.4,26.3
6120,1,DSC,3.532,1.00,1700.0,34.4,26.3
6120,2,DSC,3.551,1.00,1700.0,37.0,26.2
6120,3,DSC,3.512,1.00,1700.0,34.6,26.8
6120,4,DSC,3.569,1.00,1700.0,26.2,26.7
6180,1,DSC,3.526,1.00,1716.7,34.2,26.7
6180,2,DSC,3.551,1.00,1716.7,36.2,26.6
6180,3,DSC,3.498,1.00,1716.7,34.6,26.8
6180,4,DSC,3.564,1.00,1716.7,26.0,26.0
6240,1,DSC,3.520,1.00,1733.3,35.1,26.4
6240,2,DSC,3.558,1.00,1733.3,35.7,25.8
