SkyRC MC5000 Charge Analyzer,Firmware V1.08,,,,,,
Program,Discharge Test,Cut-off Voltage,2.80V,Discharge Current,1.00A,,
Time(s),Slot,Mode,Voltage(V),Current(A),Capacity(mAh),IR(mOhm),Temp(C)
0,1,DSC,4.123,1.00,0.0,23.0,23.0
0,2,DSC,4.115,1.00,0.0,32.4,22.8
0,3,DSC,4.122,1.00,0.0,28.3,22.9
0,4,DSC,4.114,1.00,0.0,36.4,23.3
60,1,DSC,4.105,1.00,16.7,23.2,23.0
60,2,DSC,4.104,1.00,16.7,33.7,22.9
60,3,DSC,4.109,1.00,16.7,28.7,23.3
60,4,DSC,4.101,1.00,16.7,36.2,22.7
120,1,DSC,4.100,1.00,33.3,23.9,23.3
120,2,DSC,4.091,1.00,33.3,32.0,23.4
120,3,DSC,4.096,1.00,33.3,29.7,23.3
120,4,DSC,4.087,1.00,33.3,37.3,23.2
180,1,DSC,4.090,1.00,50.0,22.8,23.3
180,2,DSC,4.082,1.00,50.0,33.2,23.3
180,3,DSC,4.083,1.00,50.0,29.4,23.1
180,4,DSC,4.079,1.00,50.0,35.9,23.1
240,1,DSC,4.070,1.00,66.7,23.3,22.9
240,2,DSC,4.065,1.00,66.7,34.0,23.2
240,3,DSC,4.071,1.00,66.7,29.4,22.9
240,4,DSC,4.066,1.00,66.7,34.2,22.6
300,1,DSC,4.053,1.00,83.3,24.0,23.7
300,2,DSC,4.052,1.00,83.3,31.8,23.0
300,3,DSC,4.067,1.00,83.3,29.1,23.4
300,4,DSC,4.044,1.00,83.3,34.6,23.3
360,1,DSC,4.042,1.00,100.0,24.6,22.8
360,2,DSC,4.050,1.00,100.0,31.6,23.6
360,3,DSC,4.052,1.00,100.0,29.3,23.7
360,4,DSC,4.030,1.00,100.0,35.7,23.6
420,1,DSC,4.024,1.00,116.7,23.9,23.6
420,2,DSC,4.031,1.00,116.7,32.8,23.5
420,3,DSC,4.038,1.00,116.7,28.7,23.2
420,4,DSC,4.028,1.00,116.7,35.5,23.2
480,1,DSC,4.012,1.00,133.3,24.1,23.4
480,2,DSC,4.010,1.00,133.3,33.1,23.5
480,3,DSC,4.024,1.00,133.3,29.5,23.3
480,4,DSC,4.016,1.00,133.3,37.6,23.4
540,1,DSC,4.006,1.00,150.0,23.4,23.6
540,2,DSC,4.010,1.00,150.0,33.5,23.4
540,3,DSC,4.007,1.00,150.0,28.8,23.2
540,4,DSC,3.994,1.00,150.0,36.0,23.0
600,1,DSC,3.995,1.00,166.7,23.2,23.7
600,2,DSC,4.002,1.00,166.7,31.5,23.7
600,3,DSC,4.000,1.00,166.7,29.1,23.0
600,4,DSC,3.997,1.00,166.7,36.2,22.6
660,1,DSC,3.986,1.00,183.3,23.4,23.3
660,2,DSC,3.991,1.00,183.3,33.1,23.7
660,3,DSC,3.992,1.00,183.3,27.9,23.4
660,4,DSC,3.984,1.00,183.3,36.3,23.3
720,1,DSC,3.972,1.00,200.0,24.1,23.5
720,2,DSC,3.982,1.00,200.0,33.3,23.9
720,3,DSC,3.981,1.00,200.0,27.5,23.5
720,4,DSC,3.976,1.00,200.0,38.0,22.9
780,1,DSC,3.964,1.00,216.7,24.2,23.8
780,2,DSC,3.974,1.00,216.7,33.2,23.5
780,3,DSC,3.981,1.00,216.7,29.1,23.2
780,4,DSC,3.966,1.00,216.7,35.8,22.7
840,1,DSC,3.956,1.00,233.3,23.6,23.8
840,2,DSC,3.960,1.00,233.3,32.9,23.3
840,3,DSC,3.970,1.00,233.3,29.2,23.2
840,4,DSC,3.957,1.00,233.3,35.8,23.5
900,1,DSC,3.942,1.00,250.0,24.4,23.7
900,2,DSC,3.960,1.00,250.0,34.2,23.8
900,3,DSC,3.960,1.00,250.0,28.1,23.5
900,4,DSC,3.947,1.00,250.0,35.4,24.0
960,1,DSC,3.940,1.00,266.7,24.4,23.9
960,2,DSC,3.946,1.00,266.7,32.1,24.4
960,3,DSC,3.951,1.00,266.7,28.4,23.5
960,4,DSC,3.937,1.00,266.7,36.3,23.6
1020,1,DSC,3.929,1.00,283.3,24.0,23.5
1020,2,DSC,3.945,1.00,283.3,33.0,23.6
1020,3,DSC,3.936,1.00,283.3,29.1,23.6
1020,4,DSC,3.938,1.00,283.3,35.3,23.4
1080,1,DSC,3.930,1.00,300.0,23.7,23.6
1080,2,DSC,3.935,1.00,300.0,32.3,24.1
1080,3,DSC,3.940,1.00,300.0,28.2,23.9
1080,4,DSC,3.929,1.00,300.0,35.4,22.8
1140,1,DSC,3.918,1.00,316.7,23.3,23.4
1140,2,DSC,3.922,1.00,316.7,32.1,23.7
1140,3,DSC,3.928,1.00,316.7,28.3,23.1
1140,4,DSC,3.919,1.00,316.7,36.4,24.0
1200,1,DSC,3.916,1.00,333.3,23.5,23.4
1200,2,DSC,3.919,1.00,333.3,33.8,23.4
1200,3,DSC,3.926,1.00,333.3,29.3,23.8
1200,4,DSC,3.917,1.00,333.3,36.5,23.5
1260,1,DSC,3.907,1.00,350.0,24.2,23.9
1260,2,DSC,3.915,1.00,350.0,33.0,24.1
1260,3,DSC,3.920,1.00,350.0,27.9,23.6
1260,4,DSC,3.907,1.00,350.0,36.3,24.2
1320,1,DSC,3.896,1.00,366.7,24.8,23.6
1320,2,DSC,3.903,1.00,366.7,34.5,23.7
1320,3,DSC,3.911,1.00,366.7,29.4,23.6
1320,4,DSC,3.898,1.00,366.7,35.3,23.4
1380,1,DSC,3.891,1.00,383.3,23.8,23.7
1380,2,DSC,3.905,1.00,383.3,32.2,23.4
1380,3,DSC,3.899,1.00,383.3,28.3,23.6
1380,4,DSC,3.899,1.00,383.3,37.2,23.9
1440,1,DSC,3.880,1.00,400.0,22.9,24.1
1440,2,DSC,3.890,1.00,400.0,33.1,23.8
1440,3,DSC,3.900,1.00,400.0,29.7,23.3
1440,4,DSC,3.892,1.00,400.0,36.0,23.5
1500,1,DSC,3.875,1.00,416.7,24.0,24.2
1500,2,DSC,3.888,1.00,416.7,32.7,23.9
1500,3,DSC,3.885,1.00,416.7,29.0,23.7
1500,4,DSC,3.887,1.00,416.7,35.5,23.9
1560,1,DSC,3.864,1.00,433.3,22.8,23.7
1560,2,DSC,3.884,1.00,433.3,32.1,23.5
1560,3,DSC,3.881,1.00,433.3,28.7,23.4
1560,4,DSC,3.871,1.00,433.3,35.6,23.7
1620,1,DSC,3.864,1.00,450.0,23.0,23.8
1620,2,DSC,3.880,1.00,450.0,33.9,24.3
1620,3,DSC,3.881,1.00,450.0,28.9,23.9
1620,4,DSC,3.866,1.00,450.0,34.8,24.3
1680,1,DSC,3.859,1.00,466.7,23.7,24.2
1680,2,DSC,3.866,1.00,466.7,33.4,23.9
1680,3,DSC,3.873,1.00,466.7,28.5,23.9
1680,4,DSC,3.868,1.00,466.7,36.9,23.7
1740,1,DSC,3.846,1.00,483.3,22.7,24.6
1740,2,DSC,3.868,1.00,483.3,32.4,24.1
1740,3,DSC,3.866,1.00,483.3,29.0,24.0
1740,4,DSC,3.867,1.00,483.3,35.7,24.4
1800,1,DSC,3.847,1.00,500.0,24.3,24.4
1800,2,DSC,3.854,1.00,500.0,32.8,24.0
1800,3,DSC,3.856,1.00,500.0,28.5,23.6
1800,4,DSC,3.853,1.00,500.0,36.3,23.6
1860,1,DSC,3.831,1.00,516.7,24.0,23.7
1860,2,DSC,3.854,1.00,516.7,32.3,23.3
