SkyRC MC5000 Charge Analyzer,Firmware V1.08,,,,,,
Program,Discharge Test,Cut-off Voltage,2.80V,Discharge Current,1.00A,,
Time(s),Slot,Mode,Voltage(V),Current(A),Capacity(mAh),IR(mOhm),Temp(C)
0,1,DSC,4.118,1.00,0.0,32.7,22.6
0,2,DSC,4.110,1.00,0.0,35.7,22.8
0,3,DSC,4.107,1.00,0.0,36.2,22.9
0,4,DSC,4.130,1.00,0.0,22.7,23.1
60,1,DSC,4.100,1.00,16.7,31.5,23.2
60,2,DSC,4.104,1.00,16.7,35.1,22.9
60,3,DSC,4.100,1.00,16.7,37.0,22.9
60,4,DSC,4.117,1.00,16.7,22.1,23.3
120,1,DSC,4.094,1.00,33.3,31.8,23.1
120,2,DSC,4.077,1.00,33.3,36.2,22.9
120,3,DSC,4.092,1.00,33.3,37.8,23.1
120,4,DSC,4.103,1.00,33.3,22.3,23.4
180,1,DSC,4.083,1.00,50.0,31.3,22.4
180,2,DSC,4.072,1.00,50.0,36.2,23.5
180,3,DSC,4.077,1.00,50.0,37.6,23.1
180,4,DSC,4.094,1.00,50.0,23.3,23.2
240,1,DSC,4.065,1.00,66.7,31.8,23.5
240,2,DSC,4.049,1.00,66.7,35.4,23.6
240,3,DSC,4.063,1.00,66.7,37.1,23.1
240,4,DSC,4.085,1.00,66.7,23.5,22.9
300,1,DSC,4.053,1.00,83.3,31.1,23.1
300,2,DSC,4.044,1.00,83.3,37.1,22.8
300,3,DSC,4.048,1.00,83.3,36.3,23.8
300,4,DSC,4.071,1.00,83.3,22.6,23.1
360,1,DSC,4.028,1.00,100.0,31.3,23.3
360,2,DSC,4.021,1.00,100.0,35.8,24.0
360,3,DSC,4.037,1.00,100.0,37.1,23.5
360,4,DSC,4.057,1.00,100.0,23.7,23.0
420,1,DSC,4.032,1.00,116.7,32.4,23.3
420,2,DSC,4.004,1.00,116.7,34.6,22.8
420,3,DSC,4.029,1.00,116.7,35.6,23.8
420,4,DSC,4.046,1.00,116.7,22.0,23.2
480,1,DSC,4.015,1.00,133.3,32.5,23.2
480,2,DSC,3.996,1.00,133.3,36.6,22.6
480,3,DSC,4.012,1.00,133.3,37.4,23.0
480,4,DSC,4.031,1.00,133.3,22.9,23.3
540,1,DSC,4.009,1.00,150.0,32.0,23.3
540,2,DSC,3.990,1.00,150.0,35.7,23.4
540,3,DSC,4.006,1.00,150.0,37.7,23.2
540,4,DSC,4.027,1.00,150.0,22.5,23.3
600,1,DSC,3.996,1.00,166.7,32.0,23.4
600,2,DSC,3.981,1.00,166.7,35.3,23.8
600,3,DSC,3.997,1.00,166.7,36.7,23.2
600,4,DSC,4.011,1.00,166.7,22.2,23.3
660,1,DSC,3.994,1.00,183.3,32.4,23.2
660,2,DSC,3.963,1.00,183.3,35.7,23.4
660,3,DSC,3.993,1.00,183.3,35.8,23.2
660,4,DSC,4.008,1.00,183.3,22.1,23.4
720,1,DSC,3.985,1.00,200.0,32.2,23.7
720,2,DSC,3.956,1.00,200.0,36.1,23.7
720,3,DSC,3.979,1.00,200.0,37.6,23.2
720,4,DSC,3.988,1.00,200.0,23.1,23.4
780,1,DSC,3.976,1.00,216.7,31.2,23.6
780,2,DSC,3.946,1.00,216.7,36.1,23.5
780,3,DSC,3.971,1.00,216.7,36.5,23.0
780,4,DSC,3.988,1.00,216.7,23.5,23.1
